Company,Quarter,X1,X2,X3,X4,X5,OCF_TA,Interest_Coverage,Debt_Assets,Repo_Rate,Leverage_Repo,Stress_Label
Adani Enterprises,2014-03-31,0.38839739062421696,0.15218026769748785,0.09408831128304984,8.606496288109955,0.4847987607514448,0.09102481914874101,4.412188574346393,0.2699461944687765,8.0,0.2159569555750212,0
Adani Enterprises,2014-06-30,0.29139970500004164,0.19994670160466296,0.10013539361865526,4.038296446356905,0.4430364587655438,0.09242039231634298,2.1101677341158434,0.44704146518221877,8.0,0.35763317214577506,0
Adani Enterprises,2014-09-30,0.40164293714737637,0.3470064567519422,0.11545954469526166,10.034232359877237,0.5687770408801182,0.11501490873570826,5.9044894267460695,0.25754946339348667,8.0,0.20603957071478934,0
Adani Enterprises,2014-12-31,0.21625339590453654,0.28874017915460554,0.08634749567387036,3.1002444729728658,0.41045127932233383,0.07617928799229348,1.9196244767862505,0.4114741879584979,8.0,0.32917935036679835,0
Adani Enterprises,2015-03-31,0.34321345460533415,0.36965059697347413,0.11189885200806679,6.335102230787038,0.4638657229923954,0.10350920404423497,3.2464832555025596,0.34940472955544133,7.5,0.262053547166581,0
Adani Enterprises,2015-06-30,0.4248572310776108,0.46149380411748947,0.11660418366819306,4.105899716151786,0.5341895295223088,0.1184984063817359,2.9714672993131925,0.41940240707781673,7.5,0.3145518053083626,0
Adani Enterprises,2015-09-30,0.3157961231512416,0.6368513049934506,0.11172049582628434,7.433416399739874,0.5677946302246151,0.09057454516744347,3.9377038735125915,0.35238042425392474,7.5,0.26428531819044354,0
Adani Enterprises,2015-12-31,0.2544092988470002,0.7300885117068282,0.15939015804573395,8.6636959578014,0.6240115119002251,0.13943654031502056,6.041641938484496,0.3725185616551753,7.5,0.2793889212413815,0
Adani Enterprises,2016-03-31,0.26914159839326024,0.5708721927292905,0.0967438028565784,3.225944038239048,0.47602278595483116,0.09075501482837643,2.6368949111862725,0.3863666064065718,6.5,0.2511382941642717,0
Adani Enterprises,2016-06-30,0.42505128889067273,0.7069170252101725,0.10977861445129886,5.867472283700124,0.48375476799433687,0.1009170169200465,2.8448936020006452,0.3606859122327455,6.5,0.23444584295128457,0
Adani Enterprises,2016-09-30,0.4613528080335927,0.6613361824743895,0.07757884573578244,4.476997854253031,0.4186389419162359,0.07176947573912518,2.5563115774674365,0.2980454332791091,6.5,0.19372953163142093,0
Adani Enterprises,2016-12-31,0.36618160866884225,0.7191816247333738,0.10672673873602825,4.899825851155273,0.4869661358056779,0.08940326124598386,2.6820749215708215,0.3732221600831443,6.5,0.2425944040540438,0
