Company,Quarter,X1,X2,X3,X4,X5,OCF_TA,Interest_Coverage,Debt_Assets,Repo_Rate,Leverage_Repo,Stress_Label,shap_X1,shap_X2,shap_X3,shap_X4,shap_X5,shap_OCF_TA,shap_Interest_Coverage,shap_Debt_Assets,shap_Repo_Rate,shap_Leverage_Repo,predicted_probability,predicted_label,risk_category
Adani Enterprises,2014-03-31,0.3883973906242169,0.1521802676974878,0.0940883112830498,8.606496288109955,0.4847987607514448,0.091024819148741,4.412188574346393,0.2699461944687765,5.0,0.1349730972343882,0,-0.254336,1.169887,-0.481196,-1.408771,-0.194224,-0.452653,-1.167535,-1.140963,0.0,-0.230252,0.021193895,0,Very Safe
Adani Enterprises,2014-06-30,0.2913997050000416,0.1999467016046629,0.1001353936186552,4.038296446356905,0.4430364587655438,0.0924203923163429,2.110167734115844,0.4470414651822187,5.0,0.2235207325911093,0,-0.265941,1.131826,-0.467666,-1.432916,-0.061614,-0.499469,-1.202781,-1.128622,0.0,-0.230252,0.021248093,0,Very Safe
Adani Enterprises,2014-09-30,0.4016429371473763,0.3470064567519422,0.1154595446952616,10.034232359877237,0.5687770408801182,0.1150149087357082,5.9044894267460695,0.2575494633934866,5.0,0.1287747316967433,0,-0.226984,0.181445,-0.499579,-1.405404,0.127493,-0.343266,-1.14815,-1.099736,0.0,-0.214384,0.013371815,0,Very Safe
Adani Enterprises,2014-12-31,0.2162533959045365,0.2887401791546055,0.0863474956738703,3.1002444729728658,0.4104512793223338,0.0761792879922934,1.9196244767862505,0.4114741879584979,5.0,0.2057370939792489,0,-0.043566,0.65605,-0.484695,-1.401958,-0.429022,-0.467818,-1.158102,-1.08868,0.0,-0.232834,0.013083881,0,Very Safe
Adani Enterprises,2015-03-31,0.3432134546053341,0.3696505969734741,0.1118988520080667,6.33510223078704,0.4638657229923954,0.1035092040442349,3.24648325550256,0.3494047295554413,5.0,0.1747023647777206,0,-0.200573,0.421155,-0.473525,-1.397577,-0.287783,-0.400305,-1.077368,-1.076052,0.0,-0.196236,0.012606672,0,Very Safe
Adani Enterprises,2015-06-30,0.4248572310776108,0.4614938041174894,0.116604183668193,4.105899716151786,0.5341895295223088,0.1184984063817359,2.9714672993131925,0.4194024070778167,5.0,0.2097012035389083,0,-0.154039,0.067498,-0.489342,-1.474469,-0.288746,-0.366005,-1.068886,-1.099904,0.0,-0.201486,0.008594878,0,Very Safe
Adani Enterprises,2015-09-30,0.3157961231512416,0.6368513049934506,0.1117204958262843,7.433416399739874,0.5677946302246151,0.0905745451674434,3.937703873512592,0.3523804242539247,5.0,0.1761902121269623,0,-0.162727,-0.496575,-0.422186,-1.440517,0.130583,-0.263669,-1.107542,-1.097136,0.0,-0.203795,0.008696137,0,Very Safe
Adani Enterprises,2015-12-31,0.2544092988470002,0.7300885117068282,0.1593901580457339,8.6636959578014,0.6240115119002251,0.1394365403150205,6.041641938484496,0.3725185616551753,5.0,0.1862592808275876,0,-0.015916,-1.695868,-0.43105,-1.307882,0.715899,-0.172769,-0.97063,-0.838542,0.0,-0.186913,0.010188567,0,Very Safe
Adani Enterprises,2016-03-31,0.2691415983932602,0.5708721927292905,0.0967438028565784,3.225944038239048,0.4760227859548311,0.0907550148283764,2.6368949111862725,0.3863666064065718,5.0,0.1931833032032859,0,-0.062089,-0.66087,-0.408196,-1.403401,-0.405149,-0.325197,-0.994183,-1.096557,0.0,-0.200688,0.0053308066,0,Very Safe
Adani Enterprises,2016-06-30,0.4250512888906727,0.7069170252101725,0.1097786144512988,5.867472283700124,0.4837547679943368,0.1009170169200465,2.844893602000645,0.3606859122327455,5.0,0.1803429561163727,0,-0.158974,-0.964755,-0.415404,-1.356511,-0.348658,-0.306409,-0.942562,-1.091507,0.0,-0.196176,0.0042628977,0,Very Safe
